schoolname,averageclasssize,year,grade,enroll,schoolid,mathscore,x,pctdisability,pctEL,pctblack,pcthisp,pctwhite
P.S. 345 PATROLMAN ROBERT BOLD,25.70000076293945,2012,4,77,345,-.2331674276368395,12.5,.091954023,.19540229,38.823528,55.294121,0
P.S. 345 Patrolman Robert Bolden,25.25,2013,4,101,345,-.6251125920869993,4.5,.13157895,.14035088,47.787609,45.132744,2.6548672
P.S. 345 PATROLMAN ROBERT BOLDEN,18.60000038146973,2009,5,93,345,-.3157128117946345,-3.5,.16666667,.083333336,46.296295,49.074074,.92592591
P.S. 345 Patrolman Robert Bolden,20.79999923706055,2010,5,83,345,-.3077175846730594,-13.5,.11881188,.14851485,54.000004,42,2
P.S. 345 PATROLMAN ROBERT BOLD,22.70000076293945,2012,5,68,345,-.3405762494981864,3.5,.19318181,.13636364,47.727272,46.590908,0
P.S. 345 Patrolman Robert Bolden,24,2013,5,72,345,-.117772732363567,7.5,.1375,.2,36.363636,57.14286,0
P.S. 346 ABE STARK,25,2011,3,100,346,-.0926267662882415,3.5,.090909094,.030303031,72.727272,21.212122,3.030303
Brownsville Collaborative Middle School,21.5,2013,6,43,363,-1.442422511073094,10.5,.25,.18181819,60.465115,37.209301,2.3255813
P.S. 376,30.33333333333333,2013,3,91,376,.1656561007099818,-5.5,.11702128,.44680852,5.319149,92.553192,2.1276596
P.S. 376,23.29999923706055,2009,4,93,376,-.105826643423773,-3.5,.08510638,.27659574,7.4468083,86.170212,2.1276596
P.S. 376,22.5,2011,4,90,376,-.3868136299223032,-6.5,.11702128,.18085106,7.4468083,89.361702,0
P.S. 376,28.66666666666667,2013,4,86,376,-.4657519495939942,-10.5,.12264151,.24528302,15.238096,84.761902,0
P.S. 376,28.29999923706055,2012,5,85,376,.1847265932853482,-11.5,.057471264,.28735632,5.7471266,89.655174,0
P.S. 377 ALEJANDRINA B. DE GAUTIER,22,2011,3,66,377,-.190375465689021,1.5,.10606061,.15151516,12.307693,84.615387,3.0769231
P.S. 377 ALEJANDRINA B. DE GAUTIER,20,2012,4,60,377,-.513283335676362,-4.5,.096774191,.22580644,9.6774187,87.096771,3.2258062
P.S. 377 ALEJANDRINA B. DE GAUTIER,27.5,2013,5,55,377,-1.089782787855991,-9.5,.19642857,.23214285,10.714286,85.714287,3.5714288
P.S. 377 ALEJANDRINA B. DE GAUTIER,25,2013,6,50,377,-.6565660554075806,-14.5,.081632651,.26530612,4.166667,87.5,8.333334
